year,income_per_person,life_expectancy,population
1800,1310,39,646000
1801,1320,39,653000
1802,1330,39,661000
1803,1340,39,669000
1804,1350,39,677000
1805,1360,39,684000
1806,1360,39,693000
1807,1370,39,701000
1808,1380,39,709000
1809,1390,39,717000
1810,1400,39,728000
1811,1410,39,737000
1812,1420,39,748000
1813,1430,39,760000
1814,1440,39,773000
1815,1440,39,787000
1816,1450,39,803000
1817,1460,39,820000
1818,1470,39,838000
1819,1480,39,858000
1820,1490,39,879000
1821,1510,39,903000
1822,1520,39,928000
1823,1540,39,955000
1824,1550,39,983000
1825,1570,39,1010000
1826,1590,39,1050000
1827,1600,39,1080000
1828,1620,39,1120000
1829,1630,39,1160000
1830,1650,39,1200000
1831,1680,39,1250000
1832,1700,39.2,1290000
1833,1730,39.3,1340000
1834,1750,39.4,1390000
1835,1780,39.5,1450000
1836,1810,39.7,1500000
1837,1840,39.8,1560000
1838,1860,39.9,1620000
1839,1890,40.1,1680000
1840,1920,40.2,1750000
1841,1950,40.3,1810000
1842,1970,40.4,1880000
1843,2000,40.5,1950000
1844,2030,40.5,2020000
1845,2060,40.6,2090000
1846,2080,40.7,2170000
1847,2110,40.8,2250000
1848,2140,40.8,2320000
1849,2170,40.9,2410000
1850,2200,41,2490000
1851,2220,41.1,2570000
1852,2240,41.1,2650000
1853,2260,41.2,2730000
1854,2280,41.2,2810000
1855,2300,41.3,2880000
1856,2320,41.3,2950000
1857,2340,41.4,3030000
1858,2360,41.4,3100000
1859,2380,41.5,3170000
1860,2410,41.5,3230000
1861,2440,41.6,3290000
1862,2480,41.7,3360000
1863,2520,41.8,3420000
1864,2560,41.9,3480000
1865,2600,42,3540000
1866,2640,42.1,3600000
1867,2680,42.2,3650000
1868,2730,42.3,3710000
1869,2770,42.4,3760000
1870,2810,42.5,3820000
1871,2910,42.6,3870000
1872,2830,42.8,3920000
1873,3060,43,3970000
1874,3080,43.2,4020000
1875,2960,43.4,4080000
1876,2730,43.6,4130000
1877,2870,43.9,4190000
1878,2720,44.1,4240000
1879,2940,44.3,4300000
1880,3020,44.5,4360000
1881,3390,44.7,4420000
1882,3510,44.8,4480000
1883,3480,44.8,4530000
1884,3710,44.9,4590000
1885,3450,44.9,4650000
1886,3450,45,4700000
1887,3530,45,4760000
1888,3740,45,4810000
1889,3730,45.1,4860000
1890,3960,45.1,4910000
1891,4010,45.2,4960000
1892,3950,45.5,5010000
1893,3890,45.9,5060000
1894,4030,46.2,5110000
1895,3950,46.6,5160000
1896,3810,46.9,5220000
1897,4190,47.3,5280000
1898,4310,47.6,5350000
1899,4660,48,5440000
1900,4860,48.3,5530000
1901,5170,48.6,5630000
1902,5560,49,5720000
1903,5560,49.4,5860000
1904,5470,49.8,6020000
1905,5940,50.2,6190000
1906,6420,50.6,6370000
1907,6470,51,6550000
1908,5960,51.4,6750000
1909,6430,51.8,6980000
1910,6790,52.1,7180000
1911,7030,52.5,7380000
1912,7310,53,7600000
1913,7420,53.4,7820000
1914,6710,53.9,8020000
1915,7060,54.3,8140000
1916,7740,54.8,8200000
1917,8000,55.3,8260000
1918,7400,47.2,8370000
1919,6690,56.2,8540000
1920,6430,56.6,8760000
1921,5590,57.1,8960000
1922,6310,57.1,9120000
1923,6610,57.1,9240000
1924,6610,58.9,9370000
1925,7210,59.4,9520000
1926,7470,58,9690000
1927,8050,58.7,9880000
